tweet_id	label
104738	Lit-News_mentions
300979	non-personal_reports
103704	Lit-News_mentions
301356	Lit-News_mentions
102301	Self_reports
103763	Lit-News_mentions
104716	Lit-News_mentions
102899	Lit-News_mentions
101022	Lit-News_mentions
102368	Lit-News_mentions
101563	Lit-News_mentions
104196	Lit-News_mentions
200798	Self_reports
101469	Lit-News_mentions
104606	Lit-News_mentions
201377	Self_reports
201229	Self_reports
201339	Self_reports
200457	Self_reports
100674	Lit-News_mentions
300215	Self_reports
101244	Lit-News_mentions
103249	Lit-News_mentions
300955	non-personal_reports
200549	Self_reports
300170	Lit-News_mentions
101059	Lit-News_mentions
101941	Lit-News_mentions
102617	Lit-News_mentions
301430	non-personal_reports
100249	Lit-News_mentions
301762	Self_reports
103161	Lit-News_mentions
105758	Lit-News_mentions
300354	non-personal_reports
200715	Self_reports
103845	Lit-News_mentions
101138	Lit-News_mentions
300279	non-personal_reports
101245	non-personal_reports
101442	Lit-News_mentions
105408	Lit-News_mentions
104580	Lit-News_mentions
301196	Self_reports
301579	non-personal_reports
101562	Lit-News_mentions
300964	non-personal_reports
301389	Lit-News_mentions
100660	Lit-News_mentions
300416	Lit-News_mentions
103174	Lit-News_mentions
102946	Lit-News_mentions
300292	Self_reports
101647	Lit-News_mentions
104296	Lit-News_mentions
200305	Self_reports
104395	Lit-News_mentions
300775	non-personal_reports
105003	Lit-News_mentions
100443	Lit-News_mentions
300781	non-personal_reports
105411	Lit-News_mentions
201074	non-personal_reports
201489	Lit-News_mentions
200043	Self_reports
105555	Lit-News_mentions
105594	Lit-News_mentions
201567	Self_reports
302254	Self_reports
100208	Lit-News_mentions
105121	Lit-News_mentions
104191	Lit-News_mentions
300956	Lit-News_mentions
301528	non-personal_reports
200845	Self_reports
302062	non-personal_reports
103677	Lit-News_mentions
101112	Lit-News_mentions
100917	Lit-News_mentions
300594	Self_reports
103407	Lit-News_mentions
102540	Lit-News_mentions
100581	Lit-News_mentions
200296	Self_reports
104032	Lit-News_mentions
103595	Lit-News_mentions
103844	Lit-News_mentions
100495	Lit-News_mentions
301930	Lit-News_mentions
301882	Self_reports
104316	Lit-News_mentions
201418	Self_reports
102378	Self_reports
102914	Lit-News_mentions
301452	non-personal_reports
301444	non-personal_reports
102599	Lit-News_mentions
300471	non-personal_reports
300066	Lit-News_mentions
100907	Lit-News_mentions
301386	Lit-News_mentions
302226	Lit-News_mentions
103456	Lit-News_mentions
200509	Self_reports
100679	Lit-News_mentions
200960	Self_reports
