tweet_id	label
201639	non-personal_reports
201398	Self_reports
102999	Lit-News_mentions
102483	Lit-News_mentions
103555	Lit-News_mentions
201258	Self_reports
103449	Lit-News_mentions
103538	Lit-News_mentions
103697	Lit-News_mentions
101838	Lit-News_mentions
104013	Lit-News_mentions
100877	Lit-News_mentions
103347	Lit-News_mentions
300887	Self_reports
104865	Lit-News_mentions
300094	non-personal_reports
104820	Lit-News_mentions
100600	Lit-News_mentions
300615	non-personal_reports
200200	Self_reports
101872	Self_reports
200628	Self_reports
101837	Lit-News_mentions
101266	Lit-News_mentions
300242	Self_reports
103936	Lit-News_mentions
102928	Lit-News_mentions
101446	Lit-News_mentions
102783	non-personal_reports
103646	Lit-News_mentions
101064	Lit-News_mentions
201129	non-personal_reports
201597	Self_reports
101686	Lit-News_mentions
301493	Lit-News_mentions
101092	Lit-News_mentions
103319	Self_reports
302138	Lit-News_mentions
200927	Self_reports
201568	Self_reports
101271	Lit-News_mentions
301851	Self_reports
103965	Self_reports
105415	Lit-News_mentions
103229	Lit-News_mentions
200943	Self_reports
103177	Lit-News_mentions
201394	Self_reports
101924	Lit-News_mentions
302384	Self_reports
201215	Self_reports
104807	Lit-News_mentions
102996	Lit-News_mentions
200722	Self_reports
200881	Self_reports
103142	Lit-News_mentions
104871	Lit-News_mentions
103989	Lit-News_mentions
104463	Lit-News_mentions
103827	Lit-News_mentions
100653	Lit-News_mentions
300529	Self_reports
103144	Lit-News_mentions
105806	Lit-News_mentions
301042	non-personal_reports
105800	Lit-News_mentions
300410	Lit-News_mentions
104528	Lit-News_mentions
100679	Lit-News_mentions
103905	Lit-News_mentions
201475	Self_reports
301223	non-personal_reports
301436	Self_reports
301946	Lit-News_mentions
300220	Self_reports
102326	Lit-News_mentions
301513	non-personal_reports
103946	Lit-News_mentions
300497	Self_reports
200920	Self_reports
103668	Lit-News_mentions
300864	Lit-News_mentions
100572	Lit-News_mentions
103659	Lit-News_mentions
105979	Lit-News_mentions
102103	Lit-News_mentions
103058	Lit-News_mentions
102690	Lit-News_mentions
200506	Self_reports
101138	Lit-News_mentions
103521	Lit-News_mentions
104007	Lit-News_mentions
301980	Self_reports
103068	non-personal_reports
201324	Self_reports
102482	Lit-News_mentions
103986	Lit-News_mentions
300939	non-personal_reports
300382	non-personal_reports
102537	Lit-News_mentions
200256	Self_reports
100196	Lit-News_mentions
102472	Lit-News_mentions
104977	Lit-News_mentions
103180	Lit-News_mentions
300367	Lit-News_mentions
200318	Self_reports
301594	Self_reports
200599	Self_reports
300853	Self_reports
201548	Lit-News_mentions
300458	non-personal_reports
103953	Lit-News_mentions
201205	Self_reports
300647	non-personal_reports
105170	Lit-News_mentions
104182	non-personal_reports
201021	Self_reports
104217	Lit-News_mentions
200798	Self_reports
200457	Self_reports
104464	Lit-News_mentions
300670	non-personal_reports
301930	Lit-News_mentions
105319	Lit-News_mentions
100931	Lit-News_mentions
201165	Self_reports
101932	Lit-News_mentions
102918	Lit-News_mentions
301487	Self_reports
104608	Lit-News_mentions
101692	Lit-News_mentions
300000	Lit-News_mentions
102027	Lit-News_mentions
300896	non-personal_reports
301045	Self_reports
105156	Lit-News_mentions
104768	Lit-News_mentions
101135	Lit-News_mentions
103974	Lit-News_mentions
101269	Lit-News_mentions
100120	Lit-News_mentions
102340	Lit-News_mentions
101042	Lit-News_mentions
